codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
170448,20,Girona,Gironès,Girona,Cassà de la Selva,10359,5285,4187,255,96,No,1,el Consell Comarcal,8.87,23,5.11,13,46.5
170890,20,Girona,Gironès,Girona,Llagostera,8297,4240,3382,206,78,No,1,el Consell Comarcal,8.87,18,5.11,11,46.5
170499,20,Girona,Gironès,Girona,Celrà,5390,2708,2098,128,48,No,1,el Consell Comarcal,8.87,11,5.11,7,46.5
171864,20,Girona,Gironès,Girona,Sarrià de Ter,5114,2513,2154,131,50,No,1,el Consell Comarcal,8.87,12,5.11,7,46.5
170209,20,Girona,Gironès,Girona,Bescanó,4941,2493,1985,121,46,No,1,el Consell Comarcal,8.87,11,5.11,6,46.5
171637,20,Girona,Gironès,Girona,Sant Gregori,3740,1916,1497,91,34,No,1,el Consell Comarcal,8.87,8,5.11,5,46.5
171426,20,Girona,Gironès,Girona,Quart,3640,1825,1420,87,33,No,1,el Consell Comarcal,8.87,8,5.11,4,46.5
171693,20,Girona,Gironès,Girona,Sant Julià de Ramis,3461,1749,1382,84,32,No,1,el Consell Comarcal,8.87,7,5.11,4,46.5
172155,20,Girona,Gironès,Girona,Vilablareix,2789,1383,1164,71,27,No,1,el Consell Comarcal,8.87,6,5.11,4,46.5
170736,20,Girona,Gironès,Girona,Fornells de la Selva,2649,1316,1084,66,25,No,1,el Consell Comarcal,8.87,6,5.11,3,46.5
170255,20,Girona,Gironès,Girona,Bordils,1701,851,717,44,16,No,1,el Consell Comarcal,8.87,4,5.11,2,46.5
170675,20,Girona,Gironès,Girona,Flaçà,1081,525,469,29,11,No,1,el Consell Comarcal,8.87,3,5.11,1,46.5
170502,20,Girona,Gironès,Girona,Cervià de Ter,948,487,383,23,9,No,1,el Consell Comarcal,8.87,2,5.11,1,46.5
170025,20,Girona,Gironès,Girona,Aiguaviva,767,388,307,19,7,No,1,el Consell Comarcal,8.87,2,5.11,1,46.5
171668,20,Girona,Gironès,Girona,Sant Jordi Desvalls,731,359,307,19,7,No,1,el Consell Comarcal,8.87,2,5.11,1,46.5
170405,20,Girona,Gironès,Girona,Canet d'Adri,708,364,290,18,7,No,1,el Consell Comarcal,8.87,2,5.11,1,46.5
170904,20,Girona,Gironès,Girona,Llambilles,693,353,284,17,7,No,1,el Consell Comarcal,8.87,2,5.11,1,46.5
171729,20,Girona,Gironès,Girona,Sant Martí de Llémena,626,324,250,15,6,No,1,el Consell Comarcal,8.87,1,5.11,1,46.5
170388,20,Girona,Gironès,Girona,Campllong,535,263,214,13,5,No,1,el Consell Comarcal,8.87,1,5.11,1,46.5
171680,20,Girona,Gironès,Girona,Sant Joan de Mollet,502,241,218,13,5,No,1,el Consell Comarcal,8.87,1,5.11,1,46.5
